fast,slow,confirm_n,sl_value,tp_value,num_trades,win_rate_pct,total_return_pct,profit_factor,expectancy_per_trade,sharpe,sortino,max_drawdown_pct,long_trades,short_trades,final_cash
50,150,1,0.6,3.0,221.0,25.791855203619914,-30.092330378858755,0.7436046620085964,-13.616439085456383,-3.5364188615378507,-3.567886472399151,37.68724770172971,221.0,0.0,6990.766962114125
20,200,3,0.6,3.0,225.0,25.77777777777778,-30.562313470784343,0.7444406514893629,-13.583250431459689,-3.6262478572700325,-3.6565437299922285,39.737957833951285,225.0,0.0,6943.768652921566
20,150,3,0.6,3.0,231.0,25.541125541125542,-32.133417526875476,0.7313534624465445,-13.91057035795475,-3.7919517023146856,-3.864156433806795,41.1014526181762,231.0,0.0,6786.658247312453
20,150,5,0.6,3.0,227.0,25.11013215859031,-33.24889631646354,0.7122256486815879,-14.64709088830986,-3.9821430848431283,-4.039414539576037,42.06952837016774,227.0,0.0,6675.110368353646
100,150,3,0.6,2.0,205.0,34.146341463414636,-28.59667250887362,0.7004167625730996,-13.949596345792028,-4.161493571473132,-3.632394592731971,33.900372951453974,205.0,0.0,7140.332749112638
20,150,1,0.6,3.0,256.0,25.390625,-35.60297230549042,0.7300399963292242,-13.907411056832212,-4.16575765992639,-4.279599774893236,44.52696943879626,256.0,0.0,6439.702769450958
50,200,1,0.6,3.0,228.0,24.561403508771928,-35.40139532281512,0.7017411056365739,-15.526927773164505,-4.428064090119674,-4.369282158767141,42.495715605604516,228.0,0.0,6459.860467718488
20,200,1,0.6,3.0,248.0,24.596774193548388,-37.71724216534296,0.7001933746456737,-15.208565389251218,-4.597658448261381,-4.670721523351908,45.46544788721504,248.0,0.0,6228.275783465704
100,200,3,0.6,2.0,213.0,33.33333333333333,-31.6971406950314,0.6762632900751673,-14.881286711282394,-4.685244352471808,-4.040842007212926,37.392014913160075,213.0,0.0,6830.28593049686
100,150,5,0.6,2.0,197.0,32.99492385786802,-30.52965976875481,0.6641248379197984,-15.497289222718159,-4.695559855125623,-4.038507430455583,35.602474452008806,197.0,0.0,6947.034023124518
100,200,5,0.6,2.0,207.0,32.850241545893724,-32.180955537320244,0.6648739958895051,-15.546355332038774,-4.850552140140169,-4.202097808836055,37.835492035630956,207.0,0.0,6781.904446267976
50,200,5,0.6,2.0,241.0,32.780082987551864,-36.588532124029406,0.666022545971182,-15.181963536941682,-5.201472775698879,-4.7865138636596205,41.674519142335456,241.0,0.0,6341.146787597059
50,150,5,0.6,2.0,244.0,32.78688524590164,-36.93145340472245,0.6665707231638114,-15.135841559312473,-5.204314134914407,-4.835436949476326,41.53591511221375,244.0,0.0,6306.854659527755
50,150,3,0.6,2.0,247.0,32.79352226720648,-37.27241377401772,0.6678848746882218,-15.09004606235535,-5.2132972985283095,-4.87379349932133,42.303549210679506,247.0,0.0,6272.758622598228
